시군구코드,시도명,시군구명
26110,부산광역시,중구
26140,부산광역시,서구
26170,부산광역시,동구
26200,부산광역시,영도구
26230,부산광역시,부산진구
26290,부산광역시,남구
26350,부산광역시,해운대구
26380,부산광역시,사하구
26440,부산광역시,강서구
26500,부산광역시,수영구
26710,부산광역시,기장군
28110,인천광역시,중구
28140,인천광역시,동구
28185,인천광역시,연수구
28200,인천광역시,남동구
28260,인천광역시,서구
28710,인천광역시,강화군
28720,인천광역시,옹진군
31110,울산광역시,중구
31140,울산광역시,남구
31170,울산광역시,동구
31200,울산광역시,북구
31710,울산광역시,울주군
41220,경기도,평택시
41273,경기도,안산시 단원구
41390,경기도,시흥시
41570,경기도,김포시
41590,경기도,화성시
44180,충청남도,보령시
44200,충청남도,아산시
44210,충청남도,서산시
44270,충청남도,당진시
44770,충청남도,서천군
44800,충청남도,홍성군
44825,충청남도,태안군
46110,전라남도,목포시
46130,전라남도,여수시
46150,전라남도,순천시
46230,전라남도,광양시
46770,전라남도,고흥군
46780,전라남도,보성군
46800,전라남도,장흥군
46810,전라남도,강진군
46820,전라남도,해남군
46830,전라남도,영암군
46840,전라남도,무안군
46860,전라남도,함평군
46870,전라남도,영광군
46890,전라남도,완도군
46900,전라남도,진도군
46910,전라남도,신안군
47130,경상북도,경주시
48121,경상남도,창원시 의창구
48123,경상남도,창원시 성산구
48125,경상남도,창원시 마산합포구
48127,경상남도,창원시 마산회원구
48129,경상남도,창원시 진해구
48220,경상남도,통영시
48240,경상남도,사천시
48310,경상남도,거제시
48820,경상남도,고성군
48840,경상남도,남해군
48850,경상남도,하동군
50110,제주도,제주시
50130,제주도,서귀포시
52130,전북특별자치도,군산시
52210,전북특별자치도,김제시
52790,전북특별자치도,고창군
52800,전북특별자치도,부안군
